"ADM",2,"TIS",118,29.30,15.20,31.00,15.20,16.50,16.50
"ADM",2,"SIH",119,29.30,15.20,31.00,15.20,16.50,16.50
"ADM",2,"TUM",120,29.30,15.20,31.00,15.20,16.50,16.50
"ADM",2,"SYP",81,5.90,3.20,6.00,3.20,3.50,3.50
"ADM",2,"HKU",82,5.90,3.20,6.00,3.20,3.50,3.50
"ADM",2,"KET",83,5.90,3.20,6.00,3.20,3.50,3.50
"ADM",2,"HOM",84,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"WHA",85,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"OCP",86,5.90,3.20,6.00,3.20,3.50,3.50
"ADM",2,"WCH",87,7.40,3.70,7.50,3.70,4.00,4.00
"ADM",2,"LET",88,7.40,3.70,7.50,3.70,4.00,4.00
"ADM",2,"SOH",89,7.40,3.70,7.50,3.70,4.00,4.00
"ADM",2,"HIK",90,17.10,8.60,19.00,8.60,9.50,9.50
"ADM",2,"KAT",91,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"SUW",92,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"TKW",93,13.20,6.50,15.50,6.50,6.50,6.50
"TST",3,"CEN",1,10.60,5.40,12.50,5.40,5.50,5.50
"TST",3,"ADM",2,10.60,5.40,12.50,5.40,5.50,5.50
"TST",3,"TST",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TST",3,"JOR",4,4.90,3.20,5.00,3.20,3.50,3.50
"TST",3,"YMT",5,4.90,3.20,5.00,3.20,3.50,3.50
"TST",3,"MOK",6,5.90,3.20,6.00,3.20,3.50,3.50
"TST",3,"SKM",7,7.40,3.70,7.50,3.70,4.00,4.00
"TST",3,"KOT",8,7.40,3.70,7.50,3.70,4.00,4.00
"TST",3,"LOF",9,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"WTS",10,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"DIH",11,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"CHH",12,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"KOB",13,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"NTK",14,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"KWT",15,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"PRE",16,5.90,3.20,6.00,3.20,3.50,3.50
"TST",3,"SSP",17,7.40,3.70,7.50,3.70,4.00,4.00
"TST",3,"CSW",18,7.40,3.70,7.50,3.70,4.00,4.00
"TST",3,"LCK",19,9.00,3.90,10.50,3.90,4.00,4.00
"TST",3,"MEF",20,9.00,3.90,10.50,3.90,4.00,4.00
"TST",3,"LAK",21,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"KWF",22,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"KWH",23,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"TWH",24,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"TSW",25,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"SHW",26,10.60,5.40,12.50,5.40,5.50,5.50
"TST",3,"WAC",27,10.60,5.40,12.50,5.40,5.50,5.50
"TST",3,"CAB",28,13.20,6.50,15.50,6.50,6.50,6.50
"TST",3,"TIH",29,13.20,6.50,15.50,6.50,6.50,6.50
"TST",3,"FOH",30,13.20,6.50,15.50,6.50,6.50,6.50
"TST",3,"NOP",31,13.20,6.50,15.50,6.50,6.50,6.50
"TST",3,"QUB",32,13.20,6.50,15.50,6.50,6.50,6.50
"TST",3,"TAK",33,15.80,7.40,16.00,7.40,7.50,7.50
"TST",3,"SWH",34,15.80,7.40,16.00,7.40,7.50,7.50
"TST",3,"SKW",35,15.80,7.40,16.00,7.40,7.50,7.50
"TST",3,"HFC",36,15.80,7.40,16.00,7.40,7.50,7.50
"TST",3,"CHW",37,15.80,7.40,16.00,7.40,7.50,7.50
"TST",3,"LAT",38,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"HOK",39,10.60,5.40,12.50,5.40,5.50,5.50
"TST",3,"KOW",40,4.90,3.20,5.00,3.20,3.50,3.50
"TST",3,"OLY",41,5.90,3.20,6.00,3.20,3.50,3.50
"TST",3,"TSY",42,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"TUC",43,18.70,9.40,21.00,9.40,10.50,10.50
"TST",3,"YAT",48,9.20,4.40,10.50,4.40,4.50,4.50
"TST",3,"TIK",49,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"TKO",50,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"HAH",51,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"POA",52,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"NAC",53,6.20,3.40,6.50,3.40,3.50,3.50
"TST",3,"SUN",54,15.90,7.70,17.00,7.70,8.00,8.00
"TST",3,"Disneyland Resort",55,22.20,11.10,25.50,11.10,13.50,13.50
"TST",3,"LHP",57,11.00,4.90,13.00,4.90,5.00,5.00
"TST",3,"HUH",64,4.70,2.20,5.00,2.20,2.50,2.50
"TST",3,"MKK",65,5.90,2.80,6.00,2.80,3.00,3.00
"TST",3,"TAW",67,10.10,5.10,15.10,5.50,5.50
"TST",3,"SHT",68,10.10,5.10,15.10,5.50,5.50
"TST",3,"FOT",69,11.00,5.40,13.00,5.40,5.50,5.50
"TST",3,"Racecourse",70,17.50,8.60,17.50,18.50,8.60,9.50,9.50
"TST",3,"UNI",71,11.00,5.40,13.00,5.40,5.50,5.50
"TST",3,"TAP",72,13.40,6.50,15.50,6.50,6.50,6.50
"TST",3,"TWO",73,13.40,6.50,15.50,6.50,6.50,6.50
"TST",3,"FAN",74,14.90,7.30,16.00,7.30,7.50,7.50
"TST",3,"SHS",75,14.90,7.30,16.00,7.30,7.50,7.50
"TST",3,"LOW",76,44.30,43.80,44.30,46.50,22.30,22.30,22.30,22.50,22.50
"TST",3,"LMC",78,44.30,43.80,44.30,46.50,22.30,22.30,22.30,22.50,22.50
"TST",3,"ETS",80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"TST",3,"CKT",96,11.10,5.50,13.00,5.50,5.50,5.50
"TST",3,"STW",97,11.10,5.50,13.00,5.50,5.50,5.50
"TST",3,"CIO",98,11.10,5.50,13.00,5.50,5.50,5.50
"TST",3,"SHM",99,11.10,5.50,13.00,5.50,5.50,5.50
"TST",3,"TSH",100,14.20,7.20,15.50,7.20,7.50,7.50
"TST",3,"HEO",101,14.20,7.20,15.50,7.20,7.50,7.50
"TST",3,"MOS",102,14.20,7.20,15.50,7.20,7.50,7.50
"TST",3,"WKS",103,14.20,7.20,15.50,7.20,7.50,7.50
"TST",3,"AUS",111,4.90,3.20,5.00,3.20,3.50,3.50
"TST",3,"TWW",114,10.90,5.70,13.00,5.70,6.00,6.00
"TST",3,"KSR",115,21.00,11.00,21.50,11.00,12.50,12.50
"TST",3,"YUL",116,22.10,11.50,24.00,11.50,13.50,13.50
"TST",3,"LOP",117,22.10,11.50,24.00,11.50,13.50,13.50
"TST",3,"TIS",118,22.10,11.50,24.00,11.50,13.50,13.50
"TST",3,"SIH",119,22.10,11.50,24.00,11.50,13.50,13.50
"TST",3,"TUM",120,22.10,11.50,24.00,11.50,13.50,13.50
"TST",3,"SYP",81,13.20,6.50,15.50,6.50,6.50,6.50
